108,Vanish Films,0.0%,$71.2k,1,1,
109,Vanishing Angle Films,0.0%,$60.4k,1,1,
110,UnionDocs,0.0%,$60.0k,1,1,
111,"Monterey Media, Inc.",0.0%,$59.8k,7,7,
112,Dreamwest,0.0%,$57.8k,1,1,
113,American Experience Films,0.0%,$57.6k,1,1,
114,Distrib Films,0.0%,$57.3k,6,6,
115,"Ghosts Media, Inc.",0.0%,$55.6k,1,1,
116,High Top Releasing,0.0%,$50.3k,1,1,
117,Sundance Selects,0.0%,$50.2k,1,1,
118,Hannover House,0.0%,$46.1k,2,2,
119,Richmond Media Ent.,0.0%,$45.5k,1,1,
120,Cartuna,0.0%,$44.2k,1,1,
121,Lightyear Entertainment,0.0%,$43.6k,1,1,
122,Area23a,0.0%,$39.9k,1,1,
123,Transatlantic,0.0%,$36.9k,1,1,
124,International WOW,0.0%,$36.4k,1,1,
125,Linn Productions,0.0%,$35.8k,1,1,
126,Argot Pictures,0.0%,$31.7k,2,1,
127,25th Frame,0.0%,$29.5k,1,1,
128,Electric Entertainment,0.0%,$27.1k,1,1,
129,Jampa,0.0%,$26.7k,1,1,
130,In the Light,0.0%,$24.1k,1,0,
131,Orion Pictures,0.0%,$22.7k,2,2,
132,Long Shot Factory,0.0%,$22.3k,1,1,
133,Red Dirt Pictures,0.0%,$22.3k,1,1,
134,CAVU,0.0%,$19.6k,1,1,
135,Rocky Mountain Pictures,0.0%,$19.1k,1,1,
136,Wonder Vision,0.0%,$18.7k,1,1,
137,Zipporah Films,0.0%,$18.6k,1,0,
138,Eammon Films,0.0%,$18.1k,1,1,
139,WRA Productions,0.0%,$18.1k,1,1,
140,Monument Releasing,0.0%,$16.5k,2,1,
141,Independent,0.0%,$16.0k,2,2,
142,Bloodvine Media,0.0%,$15.0k,1,0,
143,Bow and Arrow,0.0%,$14.1k,1,1,
144,Hey Jude Productions,0.0%,$13.8k,1,1,
145,Corinth Films,0.0%,$13.8k,2,2,
146,Epic Pictures,0.0%,$11.3k,1,1,
147,Archstone,0.0%,$11.2k,1,1,
148,Gemelli,0.0%,$10.8k,1,1,
149,Mirror Images Ltd.,0.0%,$10.1k,1,1,
150,Under the Milky Way,0.0%,$9.9k,1,1,
151,26 Aries,0.0%,$9.5k,1,1,
152,Mainstreet,0.0%,$8.8k,1,1,
153,BBC Worldwide North America,0.0%,$7.5k,1,1,
154,The Ciesla Foundation,0.0%,$7.0k,1,0,
155,JSenko,0.0%,$7.0k,1,1,
156,Brainstorm Media,0.0%,$6.9k,1,1,
157,Boxcar,0.0%,$5.9k,1,1,
158,Surla Films,0.0%,$5.8k,1,1,
159,Driving With Our Eyes Shut,0.0%,$5.4k,2,2,
160,Uncork'd,0.0%,$3.8k,1,1,
161,Masters Media,0.0%,$3.4k,1,1,
